"[REAGENTS]"
"REAGENT","1","3","4","4","4","4","2026-05-11T21:07:12.340966200Z","2026-05-11T21:07:12.340966200Z"
"REAGENT","2","3","3","3","3","3","2026-05-19T16:59:15.793597100Z","2026-05-19T16:59:15.793597100Z"
"REAGENT","3","пик","кик","ики","икпи","","2026-05-22T17:20:29.555341700Z","2026-05-22T17:20:29.555341700Z"
"REAGENT","4","кики","кик","икпи","кик","","2026-05-22T17:20:34.979023500Z","2026-05-22T17:20:34.979023500Z"
"REAGENT","5","рке","нерк","керкер","ркерке","","2026-06-03T07:57:12.676460600Z","2026-06-03T07:57:12.676460600Z"
"REAGENT","6","brtbr","brtb","rbrtb","rgbr","","2026-06-04T17:19:37.627381800Z","2026-06-04T17:19:37.627381800Z"
"[BATCHES]"
"BATCH","1","3","1","1.0","G","lower case","2026-12-12T00:00:00Z","ACTIVE","","2026-06-04T17:21:28.762649600Z","2026-06-04T17:21:28.762649600Z"
"BATCH","2","4","4","1.0","G","shelf","1999-12-12T00:00:00Z","ACTIVE","try","2026-06-06T10:31:35.362476200Z","2026-06-06T10:31:35.362476200Z"
"[MOVES]"
